"idno","netusoft","netustm","polintr","vote","prtvtgee","clsprty","prtclgee","prtdgcl","lrscale","stflife","stfeco","stfgov","stfdem","stfedu","stfhlth","happy","health","rlgblg","rlgdnm","rlgblge","rlgdnme","rlgdgr","ctzcntr","ctzshipd","brncntr","cntbrthd","lnghom1","lnghom2","gndr","agea","rshpsts","marsts","domicil","edlvdee","eduyrs","mnactic","pdjobev","pdjobyr","emplrel","emplno","wrkctra","estsz","jbspv","njbspv","wkdcorga","iorgact","wkhct","icwhct","wkhtot","nacer2","tporgwk","isco08","wrkac6m","uemp3m","uemp12m","uemp5yr","mbtru","region","totinch","ptotinc"
62931,3,NA,2,2,NA,1,4,2,4,5,6,7,8,8,5,6,2,2,NA,2,NA,0,1,"6666",1,"6666","EST","000",1,22,NA,6,4,313,12,1,NA,NA,1,NA,1,3,2,NA,0,0,40,1,40,84,1,9622,1,2,NA,NA,3,"Southern",2217,739
62982,3,NA,2,1,2,1,2,2,NA,5,5,5,4,9,3,8,3,2,NA,2,NA,0,1,"6666",1,"6666","EST","000",2,71,NA,5,3,323,13,6,NA,2017,1,NA,1,1,2,NA,5,0,40,1,40,47,4,1420,2,2,NA,NA,3,"Southern",499,499
63025,5,240,3,3,NA,1,2,3,5,8,5,5,3,5,3,10,4,1,3,NA,NA,8,2,"6500",2,"BY","RUS","000",2,59,1,NA,1,423,13,1,NA,NA,1,NA,1,3,2,NA,5,3,30,1,30,86,4,3221,2,2,NA,NA,2,"North",1743,872
63041,1,NA,2,2,NA,2,NA,NA,4,4,2,3,2,5,5,3,4,2,NA,2,NA,2,1,"6666",2,"RU","RUS","000",2,70,3,5,1,423,13,6,NA,2016,1,NA,1,3,2,NA,8,1,20,1,20,47,4,9112,2,2,NA,NA,2,"North",635,318
63096,5,600,2,1,1,1,1,2,8,9,8,3,3,7,2,8,1,2,NA,2,NA,0,1,"6666",1,"6666","EST","000",1,28,3,6,1,720,19,1,NA,NA,1,NA,1,5,1,5,9,3,40,1,43,26,4,2152,1,2,NA,NA,3,"North",2617,1308
63135,5,1,2,1,4,2,NA,NA,6,7,5,3,4,4,4,9,2,2,NA,2,NA,3,1,"6666",1,"6666","EST","000",2,83,NA,5,4,213,9,6,NA,2016,1,NA,1,3,2,NA,6,4,40,1,40,86,2,9412,2,2,NA,NA,2,"Southern",544,544
63192,1,NA,3,2,NA,2,NA,NA,0,7,NA,NA,NA,0,0,5,5,2,NA,2,NA,0,1,"6666",2,"RU","RUS","000",2,89,NA,5,3,313,14,6,NA,NA,1,NA,1,3,2,NA,0,0,NA,1,NA,85,2,2341,2,2,NA,NA,2,"Northeastern",459,230
63213,5,300,4,2,NA,2,NA,NA,3,5,0,0,2,0,2,8,2,2,NA,2,NA,1,1,"6666",1,"6666","EST","000",1,38,3,6,4,323,13,3,NA,2018,1,NA,1,1,2,NA,4,2,40,1,40,43,4,7114,1,2,NA,NA,3,"Central",2262,325
63223,5,60,3,2,NA,2,NA,NA,5,8,8,3,5,10,3,7,2,2,NA,2,NA,0,1,"6666",1,"6666","EST","000",1,67,1,NA,1,610,19,6,NA,2008,1,NA,1,4,1,100,10,10,40,1,45,84,1,2422,2,2,NA,NA,3,"Western",2552,1276
63280,1,NA,2,3,NA,2,NA,NA,5,6,7,9,0,3,8,5,4,1,3,NA,NA,7,2,"RU",2,"RU","RUS","000",2,82,NA,4,3,423,11,6,NA,2012,1,NA,1,3,2,NA,1,0,40,1,40,14,4,8153,2,2,NA,NA,2,"Northeastern",469,469
63342,4,90,3,1,1,1,6,2,7,8,6,6,7,9,7,8,3,1,2,NA,NA,8,1,"6666",1,"6666","EST","000",1,55,3,4,3,323,12,1,NA,NA,1,NA,1,2,2,NA,0,0,40,1,40,2,4,6210,2,2,NA,NA,1,"Southern",989,494
63414,5,120,2,1,1,2,NA,NA,7,6,6,4,6,8,7,7,2,2,NA,2,NA,0,1,"6666",1,"6666","EST","000",1,47,3,6,1,313,12,1,NA,NA,2,6,NA,1,1,6,0,0,40,1,40,49,4,1324,2,2,NA,NA,3,"Southern",2441,814
